NombreES,NombreEN,Precio,DescripcionMenuES,DescripcionMenuEN,TipoES,TipoEN,SubTipoES,SubTipoEN,DietaES,DietaEN,CuidadoES,CuidadoEN,Estado,Foto,Receta,_id,GRUPO,PRINT,SUB_GRUPO,Order,Comp_Lunch
Pepino Relleno de Pollo,,22000,,,,,,,,,,,Activo,,,00e6b2e5-bd50-44e8-a707-732f502e2d05,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""lunes"",
    ""fecha"": ""2025-09-01""
  },
  ""entrada"": {
    ""nombre"": ""Crema de ahuyama"",
    ""descripcion"": ""Suave y reconfortante crema casera de ahuyama.""
  },
  ""proteina"": {
    ""nombre"": ""Pepino relleno de pollo"",
    ""descripcion"": ""Fresco pepino relleno con una deliciosa preparación de pollo desmechado.""
  },
  ""carbohidrato"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": ""Chips de plátano"",
    ""descripcion"": ""Láminas de plátano crujientes y doradas.""
  },
  ""ensalada"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": ""Jugo del día"",
    ""descripcion"": ""Refrescante jugo natural para acompañar tu almuerzo.""
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""llevar"",
      ""notas"": ""sin sopa""
    },
    {
      ""order"": 2,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Lucia"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""señora"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""tatiana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""señora"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": ""sin sopa""
    },
    {
      ""order"": 9,
      ""nombre"": ""señora"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""teresita"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""teresita"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""señora perro"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""evyatar"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""llevar"",
      ""notas"": """"
    }
  ]
}"
Sánduche de huevo,Egg sanwich,20000,"Pan de masa madre con huevo revuelto,  mayo-picante, tocino ahumado  y queso mozzarella","Sourdough bread with scrambled egg, spicy mayo, smoked bacon and mozzarella cheese",Desayuno,Breackfast,Salado,Salty,Carnico,Meat,Picante,Spice,Activo,,1e1a3e07-0f04-4adc-b706-f12df09b323d,03cbb93b-ed79-4846-9935-50f11c6bd8a6,DESAYUNO,true,DESAYUNO_SALADO,,
Bombom,Bombom,7000,Doble espresso con leche condensada,Double espresso with condensed milk,Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=12bitzHA54OYSnBFvVWS0pC0tZUrxIh7h&sz=w1000-h1000,306b473f-85bc-40f5-a1c1-77ea4ed577ca,042d6434-f65c-48f1-b053-79f16a2db42c,CAFE,true,,,
Adición Pollo,Add Chicken,8000,,,Adición,Sides,,,,,,,Activo,,d104fd94-0540-466b-8d1d-b19cce69fc43,0560a532-e3a7-4c46-aed0-efbca05e413f,ADICIONES,true,ADICIONES_COMIDAS,,
"Sánduche de pollo ",Chiken sandwich,22000,"Pan de masa madre, pechuga de pollo a la plancha, salsa de ajo, tomate fresco, rúgula y acompañado de nachos","Sourdough bread, grilled chicken breast, garlic sauce, fresh tomato, rugula and side of nachos",Sanduches,Sandwitch,Salado,Salty,Carnico,,NA,NA,Activo,https://drive.google.com/thumbnail?id=14jauOCvNYO2HUNV3d9kaBjZMKVSMtG_3&sz=w1000-h1000,a2dd8bef-8e45-4a0c-a957-672bbe5f6ae8,056cf3b1-c18d-439b-b05d-74e583525903,TARDEO,true,,,
Adicion Aguacate,Add Avocado,6000,,,Adición,Sides,,,,,,,Activo,,ffaf45b8-2d47-4a27-ab46-14787858c8a4,05b20215-537d-44b9-81b2-2c6608d528ad,ADICIONES,true,ADICIONES_COMIDAS,,
Costilla BBQ,,22000,,,,,,,,,,,Activo,,,07827e2b-af1d-4ba9-a908-2de0a92a1025,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""martes"",
    ""fecha"": ""2025-09-02""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de verduras"",
    ""descripcion"": ""Una reconfortante sopa casera con un mix de verduras frescas.""
  },
  ""proteina"": {
    ""nombre"": ""Costilla BBQ"",
    ""descripcion"": ""Tierna costilla de cerdo bañada en una deliciosa salsa BBQ agridulce.""
  },
  ""carbohidrato"": {
    ""nombre"": "" Arroz blanco"",
    ""descripcion"": ""Arroz blanco suelto.""
  },
  ""acompanante"": {
    ""nombre"": ""Puré de papa"",
    ""descripcion"": ""Cremoso puré de papa nativa.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada de Cogollo, Pepino y semillas de girasol"",
    ""descripcion"": ""Fresca ensalada con cogollos europeos y pepino cohombro y semillas de girasol.""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de Sandía Limón"",
    ""descripcion"": ""Una combinación ultra refrescante de sandía dulce y limón ácido.""
  }
}"
Chocolate caliente,Hot chocolate,9000,"Espumoso chocolate en leche, con un toque de panela y chai","Foamy chocolate in milk, with a touch of panela and chai",Bebidas,Drinks,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=12k8hWeRU0BRQKAW-yq1N0l-gB_j-JT7b&sz=w1000-h1000,70aa12b3-483e-4c7d-bfff-3a8b0ba53615,083ac46f-23d3-45e7-8821-1d664249982a,BEBIDAS,true,BEBIDAS_CALIENTES,,
Tinto de Verano,,0,,,,,,,,,,,Inactivo,,d02165be-e1c5-4d16-9628-673948dc0e07,0c6a6571-1cf1-4e35-98d2-18fa20b74ee9,BEBIDAS,,,,
Cold brew clásico,Classic cold brew,9000,"Infusión de café molido a temperatura ambiente, servido con hielo","Room temperature steeped coffee, served with ice",Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=17j2qiTUKzW8cgKP1PqJqS9DOVSHU_lx1&sz=w1000-h1000,43f61af8-3f23-4dfe-ba81-10e133ba5a18,0de8ddc9-7377-43c9-992a-8a1494ba95fa,CAFE,true,CAFE_METODOS,,
